genesymbol	pre.1	pre.2	X20min.1	X20min.2
CAGL0L13376g	11145.00001	12986.75001	3028.00001	3295.25001
CAGL0I09152g	137.25001	133.75001	41.00001	50.25001
CAGL0E02255g	5556.00001	5297.00001	4071.50001	3922.75001
CAGL0J00341g	668.75001	733.37501	362.75001	380.87501
CAGL0J07238g	17225.25001	16222.75001	11491.75001	11836.75001
CAGL0F03707g	156.50001	148.25001	242.25001	250.25001
CAGL0I04510g	343.00001	328.50001	552.12501	516.50001
CAGL0M10681g	178.50001	168.50001	79.25001	83.62501
CAGL0M03993g	615.00001	618.25001	802.25001	770.50001
CAGL0G05379g	362.12501	340.37501	141.50001	172.25001
CAGL0G06732g	1380.25001	1399.75001	2593.25001	2365.25001
CAGL0I01606g	702.37501	774.75001	141.50001	231.25001
CAGL0M03575g	666.75001	698.00001	481.25001	452.25001
CAGL0K09922g	1441.75001	1441.75001	423.75001	618.00001
CAGL0C05071g	329.75001	322.75001	465.12501	444.25001
CAGL0L03135g	175.87501	212.62501	415.50001	445.50001
CAGL0D02816g	396.50001	416.62501	192.75001	225.75001
CAGL0D02970g	160.62501	156.50001	47.00001	61.75001
CAGL0L07656g	887.87501	990.37501	1562.12501	1660.50001
CAGL0K08646g	545.25001	579.75001	384.75001	380.87501
CAGL0K01155g	231.25001	273.25001	39.25001	42.00001
CAGL0J02112g	375.25001	356.37501	247.75001	250.25001
CAGL0B04433g	669.50001	572.25001	147.00001	160.25001
CAGL0C01551g	244.50001	262.75001	480.00001	443.00001
CAGL0I06556g	189.00001	178.75001	297.25001	284.62501
CAGL0G03245g	515.25001	424.37501	927.00001	970.50001
CAGL0J07898g	1469.50001	1360.50001	896.75001	898.75001
CAGL0D03586g	1033.75001	944.75001	1448.25001	1419.87501
CAGL0G09317g	385.75001	350.50001	176.00001	185.75001
CAGL0H09372g	3413.25001	3405.62501	2296.50001	2510.25001
CAGL0F05511g	335.00001	341.50001	256.50001	251.50001
CAGL0H10208g	142.50001	156.50001	252.87501	261.62501
CAGL0H07931g	351.37501	340.37501	182.12501	207.87501
CAGL0L10846g	432.75001	501.87501	137.25001	130.25001
CAGL0J05236g	581.25001	584.50001	902.50001	842.75001
CAGL0L09669g	642.75001	638.62501	105.75001	207.87501
CAGL0C00649g	1544.75001	1541.25001	2207.75001	2080.25001
CAGL0M12881g	3910.25001	3247.75001	356.50001	488.50001
CAGL0M06853g	320.75001	285.75001	482.50001	489.75001
CAGL0J07920g	505.25001	531.12501	302.25001	332.62501
CAGL0G06622g	155.25001	178.75001	330.62501	355.37501
CAGL0M06501g	4756.00001	4507.75001	2265.50001	2658.00001
CAGL0B02926g	3.75001	1.00001	695.25001	860.75001
CAGL0B03289g	232.25001	234.75001	335.50001	322.87501
CAGL0E05566g	167.75001	164.50001	542.25001	631.00001
CAGL0I01980g	238.12501	297.00001	560.25001	583.75001
CAGL0K05357g	5449.00001	5776.00001	3169.00001	3529.50001
CAGL0J04422g	581.25001	539.50001	915.37501	860.75001
CAGL0H04807g	273.87501	269.00001	82.25001	115.50001
CAGL0J03542g	64.37501	62.50001	162.50001	150.50001
CAGL0M13277g	1152.62501	1062.25001	1651.12501	1738.50001
CAGL0L02321g	73.00001	57.50001	173.75001	168.50001
CAGL0K07788g	526.37501	496.25001	697.25001	723.50001
