genes	logFC.wtvswt.20min	logFC.wtvswt.30min	logFC.wtvswt.45min	logFC.wtvswt.60min	logFC.wtvswt.90min	logFC.wtvswt.120min	logFC.wtvswt.150min	logFC.wtvswt.180min	logFC.wtvswt.240min	logCPM	F	PValue	FDR
CAGL0H05643g	-1.1684907599715	-2.85136631783383	-4.43272682780767	-4.29037763585649	-4.1589119541392	-3.53838755700616	-3.48786145194466	-3.89593376485796	-3.15062551380416	8.56674022681158	164.772962541383	1.00120655592278e-10	8.90454383579534e-09
CAGL0K06787g	-1.17849892921715	-1.73352976803898	-2.2210045273734	-2.30971584337958	-2.55977709436979	-2.64391194181378	-2.47093715146194	-2.69091216415915	-2.45100057114545	8.22227092043384	164.547769886614	1.00894490009027e-10	8.90454383579534e-09
CAGL0K11748g	-1.24231858403464	-3.10775273588881	-5.42143958299837	-5.72358293797834	-5.54075991714707	-4.9519379955036	-4.85099290057428	-5.33506207003433	-4.12034763424372	9.43800309273109	164.351176532704	1.0157580159167e-10	8.90454383579534e-09
CAGL0I03366g	-1.52504917884636	-2.86699035652049	-2.92196912586153	-2.35402491958727	-1.82428199610808	-1.35045563314079	-1.12036653156742	-1.19997912278031	-1.16104302943057	6.03332746434844	163.595873092222	1.04244175432355e-10	8.90454383579534e-09
CAGL0A01650g	3.01182650290114	4.07385425307536	4.49978236926879	4.56006785354328	4.78470090690825	5.01548182160851	4.99679367999827	5.09228480121909	5.04517732946472	9.82394080926036	163.441596327311	1.04799298791174e-10	8.90454383579534e-09
CAGL0J07238g	-1.36436976074841	-3.25814973635784	-5.78942893461937	-6.09504668287622	-5.62218148029048	-4.8665247172491	-4.4321564551235	-4.9045963630901	-3.86245142522474	9.92754153163784	163.259297893168	1.05459735973125e-10	8.90454383579534e-09
CAGL0G05698g	0.922183780531724	2.74768888023448	3.90133771674246	3.83019450659721	3.64774183317081	3.39654287817385	3.43517426650185	3.4840386005788	3.08827390488638	7.96623185267488	162.334215514379	1.08887532270718e-10	8.9265867641413e-09
CAGL0A04521g	-1.20672794260505	-3.03604415107036	-5.01368269374448	-5.19434125977546	-5.01211156352664	-4.44677876384986	-4.30078935672847	-4.76909793635127	-3.78152953223241	10.1004042144897	162.269776240393	1.09131146686732e-10	8.9265867641413e-09
CAGL0I08393g	-1.28014792460336	-2.41164144758254	-2.79095580595171	-2.51748810449935	-2.47295793652422	-2.25618794359604	-2.09161751257652	-2.16112604721562	-1.66604185982402	7.13394743811983	160.7351705617	1.15126600113587e-10	9.27211925530193e-09
CAGL0J04070g	-1.23710297768301	-2.19099381286541	-3.06521157027364	-2.90460555412301	-2.90604074504946	-2.57238127680255	-2.34669722798858	-2.42347788709885	-1.97752566716609	6.90930226118903	158.894798481974	1.22834748794535e-10	9.74302893847564e-09
CAGL0B01947g	-0.456605140822254	-1.26389391695819	-1.61540862321543	-1.96929809272669	-3.02250504762719	-2.92656762654283	-2.69104159585251	-2.66346752220023	-2.08274482358122	7.38120634188678	158.186473512187	1.25962092077436e-10	9.82492757103309e-09
CAGL0L06886g	-1.30219044944223	-2.94784557318091	-5.34276592723077	-5.67927744591774	-5.6214521539972	-4.93137141577481	-4.70754882520049	-5.30994337368954	-4.02125761103934	9.29770308865021	159.776809142812	1.27620835688682e-10	9.82492757103309e-09
CAGL0A04257g	-2.70620348540488	-3.83570080539032	-3.79932411034178	-3.40566128707454	-3.0493583242359	-2.26602466538195	-2.14960449809802	-1.89424917972925	-1.70053997321733	5.92089100441138	157.01360476971	1.31348747873764e-10	9.93194128634246e-09
CAGL0H08261g	2.02660663464076	3.42575154181338	4.23127192010661	4.12641525321267	4.53384330271199	4.52059627674324	4.53047364925125	4.54852770376676	4.52245649633237	6.12360519499189	156.50010807767	1.33792048286493e-10	9.93194128634246e-09
CAGL0M12969g	1.86963597734155	3.02949199665573	3.6324152629668	3.86352282055472	3.84609572098951	3.83138423582927	3.73945624577151	3.87380597069897	3.60899034951994	7.25418605298657	156.311565708537	1.34702546576947e-10	9.93194128634246e-09
CAGL0B03531g	1.07989201201876	2.24882213400712	2.80641366803158	2.53985401744289	3.09115325751429	3.64650360786567	4.13009361765883	4.29643696951256	4.29022677439702	5.62612155581787	155.197841732866	1.40231917928622e-10	1.00675702033342e-08
CAGL0K09614g	-2.40910997885506	-4.15530619887876	-3.73443613914186	-2.96421912473695	-2.23336049212147	-1.87373976355188	-1.56990021083999	-1.8014168330445	-1.52901890539108	7.15230775674467	155.167102227924	1.40388275996828e-10	1.00675702033342e-08
