gene.names	S37	S38	S1	S2
CAGL0C00715g	615	683	268	529
CAGL0C00737g	1588	1847	659	1461
CAGL0C00759g	1042	1099	373	809
CAGL0C00781g	2	0	0	1
CAGL0C00847g	94	102	42	99
CAGL0C00946g	5	4	0	2
CAGL0C00968g	69	84	16	88
CAGL0C01056g	50	65	1	66
CAGL0C01067g	65	79	1	82
CAGL0C01078g	15	14	0	16
CAGL0C01133g	264	222	37	286
CAGL0C01155g	222	267	72	153
CAGL0C01177g	824	954	300	649
CAGL0C01199g	665	765	244	727
CAGL0C01221g	1893	2137	593	1712
CAGL0C01243g	1098	1739	527	1663
CAGL0C01265g	928	1101	343	830
CAGL0C01287g	448	500	160	406
CAGL0C01309g	505	501	95	434
CAGL0C01325g	4608	5172	917	3206
CAGL0C01331g	924	1115	317	812
CAGL0C01353g	1326	1336	308	915
CAGL0C01375g	867	735	146	464
CAGL0C01397g	247	210	30	96
CAGL0C01419g	440	535	124	387
CAGL0C01435g	285	294	92	238
CAGL0C01441g	1456	1832	609	1405
CAGL0C01463g	303	313	78	196
CAGL0C01485g	786	816	224	613
CAGL0C01507g	901	1008	170	618
CAGL0C01529g	1143	1306	302	933
CAGL0C01551g	669	639	125	349
CAGL0C01573g	5082	6411	1206	5429
CAGL0C01595g	1313	1858	543	1570
CAGL0C01617g	9	8	3	6
CAGL0C01639g	1734	1972	669	1493
CAGL0C01661g	526	505	128	366
CAGL0C01683g	1614	1684	563	1236
CAGL0C01705g	1056	1131	314	1049
CAGL0C01727g	730	791	235	557
CAGL0C01749g	499	443	242	746
CAGL0C01771g	320	343	39	163
CAGL0C01793g	701	653	91	358
CAGL0C01815g	983	1013	132	734
CAGL0C01837g	268	246	67	195
CAGL0C01859g	1	5	1	1
CAGL0C01881g	752	828	156	510
CAGL0C01903g	257	294	74	166
CAGL0C01919g	2	4	0	2
CAGL0C01925g	637	784	233	587
CAGL0C01947g	4827	5507	1670	4363
CAGL0C01969g	491	500	149	345
CAGL0C01991g	169	146	38	105
CAGL0C02013g	1133	1309	190	639
CAGL0C02035g	2160	2348	685	1936
CAGL0C02057g	31	32	5	31
CAGL0C02079g	351	382	100	244
CAGL0C02101g	599	595	157	381
CAGL0C02123g	1341	1345	406	828
CAGL0C02145g	679	778	225	562
CAGL0C02167g	917	901	229	658
CAGL0C02189g	12970	16739	3996	14390
CAGL0C02211g	1177	1258	522	1422
CAGL0C02233g	1717	1974	530	1347
CAGL0C02255g	83	70	14	63
CAGL0C02277g	605	654	165	555
CAGL0C02299g	281	279	123	272
CAGL0C02321g	760	1029	80	220
CAGL0C02343g	5926	6978	1690	5676
CAGL0C02365g	66	73	7	24
CAGL0C02387g	109	109	24	86
CAGL0C02409g	419	403	105	298
CAGL0C02431g	415	412	108	351
CAGL0C02453g	1039	955	102	1189
CAGL0C02475g	876	993	290	756
CAGL0C02497g	445	469	151	393
CAGL0C02519g	45	42	26	177
CAGL0C02541g	774	938	258	657
CAGL0C02563g	824	826	269	656
CAGL0C02585g	856	1038	299	697
CAGL0C02607g	463	430	117	305
CAGL0C02623g	3076	3253	812	2238
CAGL0C02629g	0	3	0	0
CAGL0C02651g	457	469	96	284
CAGL0C02673g	822	875	248	508
CAGL0C02695g	482	520	151	356
CAGL0C02717g	234	227	49	185
CAGL0C02739g	1161	1058	87	343
CAGL0C02761g	1575	1553	494	1250
CAGL0C02783g	1	2	0	1
CAGL0C02805g	500	490	143	420
CAGL0C02827g	730	853	226	552
CAGL0C02849g	494	540	153	348
CAGL0C02871g	401	441	93	291
CAGL0C02893g	534	590	194	443
CAGL0C02937g	199	186	53	155
CAGL0C02959g	1510	1626	393	1166
CAGL0C02981g	770	723	199	796
CAGL0C03003g	700	821	180	598
CAGL0C03025g	1228	1268	346	989
CAGL0C03047g	1074	1077	185	1155
CAGL0C03069g	1712	1432	231	1642
CAGL0C03091r	1	0	0	1
CAGL0C03113g	1914	1746	245	986
CAGL0C03135g	440	484	145	401
CAGL0C03157r	0	0	0	0
CAGL0C03179g	1204	1311	373	861
CAGL0C03201g	772	797	161	589
CAGL0C03223g	3399	3082	452	2131
CAGL0C03245g	64	40	11	43
