CAGL0J06446r	tG(UCC)2
CAGL0A03762r	tH(GUG)1
CAGL0C03091r	tH(GUG)2
CAGL0E03586r	tH(GUG)3
CAGL0F06193r	tH(GUG)4
CAGL0K08448r	tH(GUG)5
CAGL0L04906r	tH(GUG)6
CAGL0E05808g	THI6
CAGL0G08448g	THI7
CAGL0K09328g	THR4
CAGL0G01650r	tI(AAU)1
CAGL0I06468r	tI(AAU)2
CAGL0I10703r	tI(AAU)3
CAGL0J03410r	tI(AAU)4
CAGL0J09438r	tI(AAU)5
CAGL0L06380r	tI(AAU)6
CAGL0L08558r	tI(AAU)7
CAGL0L12430r	tI(AAU)8
CAGL0M06743r	tI(AAU)9
CAGL0F05291r	tI(UAU)1
CAGL0G08514r	tI(UAU)2
CAGL0I04356g	TIF1
CAGL0I08393g	TIF3
CAGL0L06952g	TIF34
CAGL0D03718g	TIF5
CAGL0K02497g	TIF6
CAGL0J05016g	TIM54
CAGL0F01463g	TIR1
CAGL0F01485g	TIR2
CAGL0C03872g	TIR3
CAGL0D05126r	tK(CUU)1
CAGL0L05764r	tK(CUU)10
CAGL0L07876r	tK(CUU)11
CAGL0L11682r	tK(CUU)12
CAGL0G07150r	tK(CUU)2
CAGL0G09471r	tK(CUU)3
CAGL0I05346r	tK(CUU)4
CAGL0J01705r	tK(CUU)5
CAGL0J01749r	tK(CUU)6
CAGL0J01826r	tK(CUU)7
CAGL0J02596r	tK(CUU)8
CAGL0K02057r	tK(CUU)9
CAGL0D04532r	tK(UUU)1
CAGL0L10274r	tK(UUU)2
CAGL0M11000r	tK(UUU)3
CAGL0D01298g	TKL1
CAGL0B00165r	tL(CAA)1
CAGL0B01034r	tL(CAA)2
CAGL0B03135r	tL(CAA)3
CAGL0D01848r	tL(CAA)4
CAGL0F08899r	tL(CAA)5
CAGL0G04235r	tL(CAA)6
CAGL0G06512r	tL(CAA)7
CAGL0J08503r	tL(CAA)8
CAGL0D04598r	tL(GAG)1
CAGL0D00308r	tL(UAA)1
CAGL0H05467r	tL(UAA)2
CAGL0K11924r	tL(UAA)3
CAGL0C04653r	tL(UAG)1
CAGL0H06061r	tL(UAG)2
CAGL0H08646r	tL(UAG)3
CAGL0J01617r	tL(UAG)4
