genesymbol3.20m	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
CAGL0E01067g	7.163823163	7.242268534	5.570547921	5.701240654	4.927856976	4.902430042	5.09272463	5.067916435	5.547915898	5.2784148	5.834221992	6.076748764	5.981655669	6.230284307	6.129609755	6.363833093	6.581865132
CAGL0I06094g	5.320594315	5.621351401	7.32337377	7.306467691	8.014971652	8.009228591	7.99966674	8.094180093	7.962704534	7.849797382	7.820046663	7.757017112	7.824379071	7.787126128	8.048644602	7.735717212	7.729203295
CAGL0I01980g	5.798114409	6.149714247	7.039804284	7.076549809	8.19977019	8.267251014	8.869896622	8.830283585	8.789125793	8.785275225	8.697773339	8.519858855	8.551692011	8.533368449	8.508997512	8.348961212	8.286099862
CAGL0F07777g	4.482723477	4.585246992	6.572216964	6.365144213	9.190918094	9.084792333	10.68945505	10.39995017	10.81683193	10.92457563	10.99222365	11.34671851	11.34341022	11.63062091	12.24088083	11.40288731	11.3763369
CAGL0M02981g	5.37897983	5.652599246	6.906883444	6.795265075	7.698865371	7.712481457	7.900366564	7.944067269	7.772274867	7.786060496	7.320492993	7.075928036	7.010610973	7.02748962	7.198246178	6.967444251	6.824281035
CAGL0D06600g	5.270067225	4.999130489	6.858934628	6.978649366	8.458055825	8.240667205	8.839011131	8.810722849	9.0950456	9.28823609	9.539417206	9.922135943	9.886350794	10.18049515	10.66732342	10.19551607	10.2486445
CAGL0I04290g	6.958980475	7.074743819	5.408688915	5.599516801	3.632005854	3.457627914	3.391531231	3.736660035	3.736425151	3.66237598	3.979004272	5.070187048	4.596561547	5.118498928	4.854522616	5.099171233	5.184457422
CAGL0I05962g	6.396614068	6.322869228	7.619013169	7.546332962	8.570311348	8.586710518	8.900134746	8.93800634	8.876407196	8.960211075	8.957894029	8.922534866	8.903351909	8.861467677	9.170455183	8.793371601	8.645070587
CAGL0L02799g	7.500466539	7.502782387	6.135695647	6.25235952	5.002370723	5.21205318	4.909718535	4.853179728	4.801331351	4.858244178	5.182113322	5.488509136	5.456558589	5.623374311	5.452056102	5.819084462	6.180211923
CAGL0I09350g	7.43087464	7.448621867	5.642445681	5.899746481	4.474123612	4.550277893	4.897471699	4.550684181	5.048631519	5.158104583	5.616141383	5.98810866	6.01310811	6.016016278	5.88869345	6.243655801	6.3078842
CAGL0J06908g	4.727061706	4.721152372	6.702128323	6.464934695	7.255206197	7.226327685	7.539681183	7.469070443	7.480968266	7.591960244	7.551046759	7.505028348	7.455268344	7.431702646	7.794552156	7.403957939	7.20511315
CAGL0J09262g	4.209997456	4.267704685	6.120282545	5.927999502	7.555496087	7.555316735	8.053090262	8.125328626	7.861225054	7.841597141	7.671455774	7.557310995	7.713368188	7.399389451	7.99939583	7.383085189	7.214454809
CAGL0L10516g	8.541220331	8.567041413	6.332449817	6.859018586	5.170443464	5.302069876	5.166025642	5.223148552	5.613399011	5.603414025	6.078614854	6.437133011	6.509697905	6.725079471	6.514865723	6.899900804	7.146362302
CAGL0I02530g	6.556940347	6.535596843	8.544168255	8.167841771	9.051513274	8.855548661	9.223243619	9.25910932	9.162775658	9.100403209	8.621126689	8.464611732	8.416470829	8.575962109	8.641421138	8.783098401	8.925390916
CAGL0G08294g	6.974842127	7.177144068	5.72118315	5.826594121	4.483613599	4.260655563	4.158883031	4.154100766	4.195728017	3.993697459	4.365508148	4.829030646	4.463878947	4.817703587	4.72364266	4.791531427	5.035806993
CAGL0K00759g	8.383795301	8.253158981	6.906883444	7.129213271	4.520961352	4.323418401	3.984596194	3.789471018	4.530076015	4.323096472	5.231479158	5.957308956	5.864929337	6.098841634	5.475974326	6.153728041	6.302888374
CAGL0H07425g	7.075370408	7.133512357	5.637040521	5.651275105	4.819616772	4.680654737	4.403667924	4.714404989	4.583340935	4.825355146	4.817424059	5.118712528	5.238593615	5.04493571	5.040155508	5.117127604	5.464986473
CAGL0C01771g	4.585475275	4.623599709	6.24987179	6.201186711	7.424896712	7.650185991	8.173516748	8.195495247	8.129785588	8.147093853	8.217201897	8.078587277	8.078282603	8.081294954	8.617043853	8.075828811	7.77231143
CAGL0L00473g	4.500365063	4.673200427	6.221260923	6.354774769	7.091074036	7.177896565	7.318700671	7.474456335	7.232718379	7.202950155	6.871383931	6.67745368	6.655297953	6.589361742	7.103817088	6.695984029	6.441174054
CAGL0E05588g	4.756723696	4.856128115	6.493649657	6.645926528	7.048547191	6.958176736	7.469026082	7.564331279	7.412713577	7.585836584	7.77843864	7.728637024	7.959673233	7.81584342	7.962986837	7.779596541	7.825535095
CAGL0G08173g	12.64869237	12.48433666	11.26180227	11.4697381	9.850378851	9.983138517	8.435216958	8.342641951	8.469207185	8.273631546	8.607167751	9.035846437	9.094421163	9.175213558	8.651583033	9.019843857	9.578529489
CAGL0L03938g	5.118383028	5.172987324	6.410555993	6.654406507	7.737057443	7.8721498	8.318353724	8.239655536	8.228175515	8.161988715	8.219752425	8.169689219	8.275808193	8.27585887	8.604311502	8.186262823	8.076682161
CAGL0H00781g	5.972565925	6.026314681	7.398769323	7.338395262	8.234612318	8.260049328	8.302186345	8.33673973	8.261238965	8.362282971	8.175242498	8.051762957	8.090749775	7.933347072	8.217763406	7.817612307	7.503946755
