genes	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0I01166g	0.60939916500407	-0.69158267097017	-1.57881318410372	-1.42940223146398	-1.36268198107136	-1.38479587598134	-1.51883379525768	-2.06968212999316	-1.80703899596877	6.09708107769881	38.7828919703668	4.96510528540227e-07	2.1915957984048e-06
CAGL0I03344g	-2.49133491548626	-4.05280590980878	-3.87562738260517	-2.9285695247136	-2.26152728730511	-2.11173814910394	-1.6762579909955	-1.91185617376536	-1.38614482568178	4.55438525913412	38.6680756048205	5.04236593484674e-07	2.21990703680542e-06
CAGL0B01925g	1.65568226441429	3.06261921196327	3.29820059429879	3.30085487278899	3.44450235992561	3.21164407724287	3.42740012165899	3.45880784412411	3.02887093395112	6.78986223500025	38.6641531311264	5.04503041414309e-07	2.21990703680542e-06
CAGL0K01353g	1.16717702592038	1.98727507746211	2.27886909944107	2.28809164996107	2.33082349322792	2.35365015310943	2.19769710765208	2.40929554395028	2.04356147411836	7.69172086266927	38.5364429039164	5.1326990243046e-07	2.25416773424787e-06
CAGL0E05962g	1.55753361510488	2.82088442770766	3.35063609149905	3.35797085778587	2.88876728734693	2.61604261738596	3.05317354231448	3.28466099055917	3.01774556831214	5.37169080364041	38.5290363014984	5.13783845040307e-07	2.25453346922549e-06
CAGL0G07975g	-1.56766117028987	-2.68350304674036	-3.02899877539673	-2.61733755874505	-2.23855701729017	-1.90539317762981	-1.73405739915879	-1.90531621089731	-1.4159216127851	4.98348589736728	38.4985664884793	5.15904552632719e-07	2.26005048789313e-06
CAGL0M13189g	3.22421486220082	4.66730682493399	4.83826041844103	4.75850830379545	4.63263745349458	4.21063604406581	4.62831705131555	4.659663912377	4.26612834448635	7.66016494398805	38.4321781014143	5.20561168121017e-07	2.27473932814151e-06
CAGL0B02981g	1.23894213731057	1.72054005045528	1.67041097475192	2.00273513381663	1.54127189677652	1.28766865429378	1.55470130671607	1.73083563705423	1.47136884263492	6.83859359830094	38.4142814541431	5.21824971660723e-07	2.27614938274533e-06
CAGL0D00682g	-1.53273513064956	-2.54274937742108	-2.76629265683155	-2.27560938076679	-1.23130128016968	-0.694387138735873	-0.416782708856678	-0.229012636460232	0.133424802214943	5.64937204885212	38.4030065979962	5.22623029237801e-07	2.27614938274533e-06
CAGL0I02354g	-1.64623537046644	-2.56962172180587	-2.35467738869183	-2.02740185116354	-1.7180501921262	-1.25076098180798	-1.16497322804724	-1.06141731709299	-0.71125374649464	5.70306456320932	38.354373475485	5.26081969502851e-07	2.28740789895966e-06
CAGL0M09845g	-2.14608187399861	-3.49095128960619	-3.03648724939269	-2.47823921123777	-1.92968534303766	-1.46309182711542	-1.39663149741372	-1.48630807250594	-1.06719058132807	6.02398522321832	38.311867376387	5.29127332388137e-07	2.29303111345356e-06
CAGL0G04851g	-0.543102112845158	-1.45360447141867	-2.82378403816484	-2.34760308012	-2.3474250430281	-2.65596509864813	-2.52019141550213	-2.50132692452993	-2.57566375171128	7.72829453284608	38.2838727823827	5.31144405332853e-07	2.29986845485317e-06
CAGL0K10362g	-1.95817894634291	-3.22116990308029	-3.68376337932428	-3.31655031114828	-2.70264702862171	-2.20232104843663	-2.26728462822297	-2.35941231728854	-1.94489396678452	3.94736480262575	38.1509528174645	5.40846603433121e-07	2.33994377601024e-06
CAGL0H07601g	1.22011894515933	2.59051701923158	3.63835262624275	3.61766407671197	3.98404866866366	3.88838984667829	3.90360758876603	3.6485743878585	3.61446602907943	3.61957445890786	38.1320583784661	5.42242715218906e-07	2.34211271796285e-06
CAGL0M12122g	-2.02694148209939	-4.26716613547733	-4.94097794364388	-4.48458390286554	-3.96374020482504	-3.32965839189658	-3.09098527548323	-3.46715135441988	-2.75580739572035	5.47184806204759	38.1215560511409	5.43020576356244e-07	2.34353892598923e-06
CAGL0F07645g	-2.26470265234902	-3.22019897799979	-3.45825415449679	-2.59928483749856	-1.85053606522835	-1.31209607819693	-1.39196604904196	-1.28738360891301	-0.83840370952562	4.28051786392431	38.0134933555109	5.51101455843165e-07	2.3667072365373e-06
CAGL0G06050g	9.44410890601652	9.51135901223664	9.86599240716362	9.73796287370479	10.0674512931771	10.1383039546205	10.5877752927082	10.9178787896798	10.8059055757422	7.79141800954669	37.9580322259912	5.55304020435831e-07	2.38084893282684e-06
