genesymbol	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0F04939g	-0.214600654109109	-0.848892413197951	-0.641362189323735	-0.282953598361321	-0.632737373959103	-0.4396849224893	-0.335695001103833	-0.2657607468604	-0.350589532512604	6.46829867880062	6.74751341604019	0.00433897592665803	0.00575291649093853
CAGL0H00418g	-1.07993103054723	-0.896494437818234	-0.586836739327063	-0.788290996063685	-0.766771136264789	-0.594063643134755	-0.555586670965419	-0.25733603692862	-0.279514168073908	4.99010365830958	6.74720512287093	0.00433968810367073	0.00575291649093853
CAGL0L00517g	-0.269903698171082	-0.235814211262977	-0.0441878352541822	0.160486406828764	0.311183185378064	0.491234724595283	0.446009622041982	0.217325026487672	0.410059145992833	5.83490579917642	6.74338384744648	0.00434852730021388	0.00576317478901763
CAGL0D05148g	0.0838562454711109	0.0522532730407903	0.215865861063422	0.265930264472392	0.405004328773766	0.936460951164401	0.818923618956647	0.664287058353801	1.03428218512427	6.97853013765321	6.74191823171859	0.00435192329916378	0.00576621576085102
CAGL0G07777g	0.183299580677802	0.44863492031309	0.61857657150114	0.573461382455321	0.646087478486925	0.713107827628868	0.698618335100265	0.53902041374231	0.706372874361135	7.45709455869481	6.74007973843354	0.00435618785698528	0.00577040572654807
CAGL0F07623g	-0.380799389101005	-0.527747089083588	-1.03427117955917	-0.8238517660997	-0.527636460145494	-0.87773232368043	-0.660017696925365	-0.627644702198181	-0.421702169420273	4.61821044522961	6.72636576833187	0.00438815946405004	0.00580989110229072
CAGL0B03855g	0.112276622784115	0.157748895639469	-0.278221553956631	-0.325015895374536	-0.493672899922265	-0.287550985495635	-0.361884161059295	-0.275775648986155	-0.251039427272763	6.07795102976846	6.72634173477574	0.00438821574373591	0.00580989110229072
CAGL0H02299g	-0.111605199847499	-0.480651877301513	-0.399317204097098	-0.00890107539053897	-0.100549583054988	0.247956284301217	0.0184945260627716	0.285685932512506	0.241986620497602	4.76626113797658	6.7156655419179	0.00441330330741057	0.00584162903016292
CAGL0F03663g	0.109526631560267	0.312892198051034	0.718515253221193	0.566408769931186	-0.072145255372968	-0.622884236167938	-0.188351921041407	-0.183394945291984	-0.564728842405808	7.13001048923748	6.71185034883988	0.00442231073316518	0.00585207196362986
CAGL0H10582g	-0.44448296397678	-0.608359738249004	-0.797803140339775	-0.832723106866807	-0.80507045919487	-0.733619032924431	-0.74531034910539	-0.843400147585321	-0.72640980267649	7.29637196002143	6.71065207723843	0.00442514438510826	0.005854128014034
CAGL0A03806g	-1.09813754206098	-1.09813754206098	0.78511051444668	2.16141228516293	1.2566768764126	-1.09813754206098	0.284096397021389	0.28075671247037	-1.09813754206098	-2.58695816124773	6.71024776675441	0.00442610098940718	0.005854128014034
CAGL0L09537g	-0.168083581312177	1.07169335924151	1.21900461649552	0.855193404303449	0.651265911933145	0.71840296601005	0.708295262254155	1.02353066336245	-0.208984524983975	1.92332058010062	6.70287335071628	0.00444359313946879	0.00587577925868126
CAGL0G08228g	0.313050662660356	0.00488793766662354	0.0414211681130388	0.123229565287145	0.462473299041821	0.493653660593274	0.846211745094282	0.660760967506881	0.49133178562875	4.30117573278126	6.69515244855278	0.00446199727068839	0.00589862517981154
CAGL0D06204g	0.187815225893343	0.395269081376263	0.607832310935193	0.544814308529785	0.374108054489494	0.341316198550148	0.261068913011584	-0.0254261947924821	0.107623110790776	6.90063373542512	6.68475105766377	0.00448693751298266	0.00593009792488367
CAGL0K06743g	0.0742353548900425	0.197058180846822	0.190088818182179	0.105480762893588	0.00589886327091449	-0.0715767599590666	-0.302097005752706	-0.251998434817871	-0.196879708404525	7.10376713894666	6.68405926882818	0.00448860227104919	0.00593080083012179
CAGL0F05599g	-0.498548749856209	-0.526396669927493	-0.376192180911408	-0.307526183243929	-0.143813192354487	-0.166470986738228	-0.032166941558347	0.00417684007713515	-0.140092018058027	5.84210591209922	6.68025921114169	0.00449776033385977	0.00594140180362248
CAGL0K08036r	0.102633428566616	0.166201958294694	-0.147013072708579	0.401199145741147	0.383358112266543	1.77605583850211	1.70744046872889	1.6859679906568	2.12877859655718	1.06182977901091	6.67733290282463	0.00450482815796483	0.00594923698459786
CAGL0M09471g	1.41387894483243	1.71404792561053	1.95060872147327	1.8683729730622	1.50855328279836	1.92853253538772	1.4181172693714	2.26405972921255	1.04489285322354	1.16197001048702	6.67504419327294	0.00451036541729971	0.00595504740468197
