genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0J06374g	1879	3015.25001	8.51417807002797	0.00410055580558455	0.0150947996321518	-4.45779872030296
CAGL0K07700g	176.9375	285.59376	8.50664159484642	0.00411062096650544	0.0151214153347172	-4.45781199354712
CAGL0K11297g	-217.125	319.62501	-8.50373549583112	0.00411451097918593	0.0151232915804284	-4.45781712069866
CAGL0G00176g	-153.1875	1261.34376	-8.50202602064662	0.00411680153258005	0.0151232915804284	-4.45782013900478
CAGL0M10417g	-109.4375	153.46876	-8.49933147229917	0.00412041547078715	0.0151261501178105	-4.45782490009004
CAGL0M02079g	-173.0625	248.09376	-8.47575831370627	0.00415221383439563	0.0152323993071983	-4.45786673571939
CAGL0A00847g	112.4375	115.71876	8.47120699959212	0.00415839102966591	0.015244575774734	-4.45787485109693
CAGL0M09647g	-83.125	200.62501	-8.46492360579016	0.00416693930502993	0.0152654218770808	-4.45788607528157
CAGL0G08173g	5338.5	17784.00001	8.45816552801835	0.00417615965859657	0.0152886998071064	-4.45789817383606
CAGL0B00330g	117.1875	476.96876	8.45559204343982	0.00417967796523771	0.0152910852308491	-4.45790278819896
CAGL0E04686g	-252.5625	481.53126	-8.44789866398249	0.00419021957449407	0.0153191440783765	-4.45791660654275
CAGL0I04906g	-461.625	1082.12501	-8.44342087237328	0.00419637152574087	0.0153293629428949	-4.4579246657161
CAGL0L03938g	-247.5625	274.09376	-8.43824231088077	0.0042035013459645	0.0153293629428949	-4.45793400128114
CAGL0G00660g	400.6875	655.78126	8.43815016230877	0.004203628362576	0.0153293629428949	-4.45793416754768
CAGL0A02794g	156.875	365.37501	8.43751042712768	0.0042045103084843	0.0153293629428949	-4.45793532198393
CAGL0L03003g	321.625	463.31251	8.42561833091604	0.00422095010155052	0.0153618464959398	-4.45795682721237
CAGL0K04059g	-78.1875000000001	337.15626	-8.42443105297957	0.00422259613415462	0.0153618464959398	-4.45795897897252
CAGL0A03051g	121.125	471.31251	8.42398953187877	0.00422320847476396	0.0153618464959398	-4.45795977938167
CAGL0L00205g	-62.3125	92.90626	-8.42212055347177	0.00422580185739135	0.0153618464959398	-4.45796316886789
CAGL0E01837g	-357.875	453.43751	-8.42066736221353	0.00422781977053612	0.0153618464959398	-4.4579658057784
CAGL0F03333g	179.25	256.00001	8.4066080160243	0.0042474094999996	0.0154225202675275	-4.45799138419375
CAGL0I08525g	-160.1875	490.84376	-8.39880449265154	0.00425833510139194	0.0154463668248157	-4.45800563372602
CAGL0B00770g	-154.0625	313.09376	-8.39778263276856	0.00425976857879714	0.0154463668248157	-4.45800750246291
CAGL0F00407g	1427.5	1998.37501	8.38724053489605	0.00427459495635115	0.0154895988431909	-4.45802681914372
CAGL0G05874g	374.5	519.62501	8.3766476305604	0.00428956248096761	0.0155087020358075	-4.45804629839944
CAGL0M04895g	-112.125	258.00001	-8.37607420828657	0.00429037471434685	0.0155087020358075	-4.45804735485725
CAGL0E02079g	148.5	488.31251	8.37593927608803	0.00429056587120589	0.0155087020358075	-4.45804760348252
CAGL0K07986g	273.5	965.56251	8.37463471220313	0.00429241461988343	0.0155087020358075	-4.45805000785003
CAGL0J04224g	-402.25	661.00001	-8.37323149190959	0.00429440436949526	0.0155087020358075	-4.45805259523138
CAGL0K11836g	-234.5	256.50001	-8.3707089213331	0.0042979844517459	0.0155111292730803	-4.45805724966257
CAGL0M12474g	-80.875	52.06251	-8.36377396875928	0.00430784729487279	0.0155362119478374	-4.45807006596123
CAGL0E03476g	-147.5	370.87501	-8.35430544789508	0.00432136236415663	0.0155744235475753	-4.4580876132043
CAGL0I03212g	123.125	158.56251	8.34562254832957	0.00433380601777916	0.015601363820186	-4.45810375414731
CAGL0K02937g	635.5625	725.03126	8.34500899015412	0.00433468713564222	0.015601363820186	-4.45810489651298
CAGL0F06435g	61.75	55.12501	8.34296552523599	0.00433762344275129	0.0156014048844473	-4.45810870289669
CAGL0H04631g	-238.5	462.75001	-8.33897321010456	0.00434336779242762	0.0156115389520276	-4.45811614705359
CAGL0H06259g	-143.9375	292.90626	-8.31634853618673	0.00437611454076846	0.0157186498050229	-4.45815852498748
CAGL0L08272g	378.374999999999	1764.81251	8.3106228578646	0.00438445422507026	0.0157380072924124	-4.45816930153178
CAGL0H10032g	-726	938.12501	-8.30731119544236	0.00438928751265815	0.0157447609902613	-4.45817554416084
CAGL0M10087g	-329.6875	717.53126	-8.30069133767992	0.00439897043331373	0.0157688899807093	-4.45818804403773
CAGL0L04356g	451.75	881.62501	8.29115794308257	0.0044129653282548	0.015808433217536	-4.4582060950642
CAGL0M11308g	-99.2500000000001	402.50001	-8.27576879282711	0.00443568245574177	0.0158693906888138	-4.45823535803609
CAGL0H09086g	-144.375	303.06251	-8.27390722697729	0.00443844106637235	0.0158693906888138	-4.45823890831811
CAGL0K03619g	-59.75	158.87501	-8.27359283591889	0.00443890718179792	0.0158693906888138	-4.45823950813175
CAGL0A03388g	3918.62499999999	15473.93751	8.25034302199641	0.00447355972649445	0.0159825636846091	-4.45828404498188
