genesymbol	S3	S4	S7	S8	S11	S12	S15	S16	S19	S20	S23	S25	S26	S29	S31	S32	S35
PMU1	7.335813441	7.39234852	8.938407628	8.779089573	9.178189494	9.095621224	9.540219665	9.561047365	9.577217905	9.599757983	9.767813807	9.977728848	10.07474278	10.39220929	10.68995983	10.59548682	10.62773456
PMU2	1.868996419	2.506277286	10.68386911	10.91745552	11.85560908	12.14737862	12.45575181	12.6341076	12.46115364	12.39609547	12.3157741	12.2798114	12.42667383	12.29091198	12.134104	12.45508982	12.42422509
MYO3	5.739897853	5.719051172	6.529097694	6.825617947	7.460174464	7.535570619	8.219744826	8.409539821	8.400380259	8.536225267	8.85303928	8.996894145	9.222271025	9.007965077	8.492760313	8.748956201	8.93025864
FRS2	9.445270657	9.429324451	8.180754521	8.362843098	7.037313983	6.909911503	5.813259659	5.675354596	6.294620241	6.081937876	6.333484573	6.833392662	6.542969027	6.74014041	6.180404109	7.039832493	7.067550804
APE1	6.082061346	6.330618253	7.42879656	7.191721171	8.797980872	8.811344499	9.323911343	9.342103117	9.137400241	9.112381284	8.650537499	8.096870045	7.980759184	7.894235699	8.747695888	8.048797324	7.193012873
MET28	0.235218345	0.454362654	0.015427705	0.885862155	0.877283215	2.277887321	0.891708992	1.612996276	2.144552105	1.742236125	2.388809724	2.801574963	2.874571406	2.854260527	1.941223588	3.314768333	3.098743666
ADI1	4.482723477	4.685338659	6.228467009	6.380559959	6.701433126	6.966066259	6.601955481	6.749503473	6.826235958	6.6429522	6.357772031	6.16796328	6.263520549	6.124576127	6.311515834	6.205000246	6.228434771
THR4	9.436133425	9.195258965	8.512786806	8.605191915	7.659634694	7.710134562	6.838135529	6.609657489	7.255459508	6.891573798	7.209897275	7.639984978	7.413076755	7.464316009	7.008639997	7.394173075	7.70384377
PRT1	9.471222365	9.458792321	8.197375498	8.249871133	7.524799857	7.429720526	7.279127796	7.070781268	7.230633118	7.206147372	7.374598217	7.517146805	7.429733761	7.707628833	7.484250248	7.756869553	7.78221724
ADE2	6.768284026	6.676036409	7.3064487	7.279310793	7.775230777	7.84245604	7.979474781	8.004882798	8.109502955	8.110876549	8.297628081	8.689415697	8.948147227	8.761265619	8.659064483	8.929582837	8.932686357
CTA1	6.377648377	6.431349725	8.763420927	8.982207081	9.97567048	10.08966402	11.03361719	10.93844605	10.886697	10.72254993	10.78550571	10.55826319	10.22836253	10.64672983	11.53468716	10.47228948	10.57444635
RPS11B	11.80859808	11.73387903	10.38233193	10.6633881	8.703683153	8.623341126	6.512439738	6.17941758	6.182583563	5.908296556	6.232027068	6.816330711	6.824401159	6.921374013	5.946086028	6.810766225	7.651746921
KRS1	9.938923703	9.852754963	8.388825302	8.645096768	7.132383114	7.176197178	6.199819223	5.875891939	6.182583563	5.966016712	6.485350313	6.818780522	6.65109505	6.853743921	6.290474727	7.063176663	7.39313838
ENA1	7.423958312	7.488998948	8.450212078	8.513777274	8.813585276	8.814625278	9.137975613	9.059899526	9.322557891	9.233272849	9.42803023	9.58448629	9.622758632	9.858859259	10.23222998	9.95361258	10.0499685
PHO88	8.749193182	8.677504305	9.183347514	8.931648976	8.166277297	7.997728756	6.675521614	6.495090324	6.589666905	6.416018579	6.653252276	6.943005185	6.973223619	6.912537754	6.374677022	7.24428703	7.086571244
STE2	-1.506960002	-1.774274078	0.260081588	-0.583940765	-1.433893573	-0.765728898	0.12844673	0.487638353	1.022845846	1.027174962	0.63338108	0.848464523	1.232165175	0.088968058	0.294834353	0.72320524	0.532188247
SEC53	10.41237039	10.34375851	9.8057655	9.939797542	8.994571148	9.096070669	8.016752012	7.564331279	8.505017587	8.07547587	7.963300868	7.767200278	7.215907993	7.518703238	7.746900725	8.199666692	7.304688037
AED2	-0.673624826	-3.703235086	0.469200197	-0.583940765	-0.59185972	1.572698247	1.076872476	0.925363585	0.217811469	0.469133444	1.828711708	2.101155993	2.161888953	2.289124612	2.288576911	2.766033727	2.362710389
AED1	-1.506960002	0.20740583	1.213078895	0.330562733	-0.59185972	-1.259476553	-0.77362669	0.925363585	-0.080500832	0.287873906	1.055039683	2.101155993	0.141469135	1.347020152	1.370610417	1.869559288	1.62729732
HSC82	10.49223724	9.333275748	12.28842112	12.13858794	10.74624457	10.17765182	9.730443977	9.415340004	9.639842734	9.484672468	9.461388933	9.449909557	9.366550523	9.367719243	9.412098012	9.598224367	9.623052319
UGP1	7.715866724	7.573060977	9.35982885	9.175771824	10.56563165	10.48650687	10.65463171	10.47944658	10.33101262	10.30016617	10.02669629	9.629835503	9.451173473	9.564344887	10.33727447	9.556612059	8.946366783
HIS3	-3.703235086	-3.703235086	-1.923744387	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-3.703235086	-1.511922966
